0.005,234.7
0.01,170.3
0.015,161.8
0.02,168.2
0.025,163.0
0.03,167.6
0.035,163.1
0.04,161.6
0.045,162.5
0.05,156.2
0.055,164.4
0.06,162.0
0.065,161.0
0.07,159.3
0.075,160.6
0.08,159.6
0.085,156.5
0.09,196.3
0.095,165.0
0.1,167.1
0.105,168.4
0.11,170.0
0.115,166.2
0.12,163.1
0.125,162.5
0.13,160.9
0.135,157.0
0.14,164.9
0.145,162.2
0.15,160.9
0.155,160.9
0.16,165.7
0.165,161.4
0.17,166.1
0.175,159.4
0.18,160.9
0.185,157.8
0.19,160.9
0.195,161.0
0.2,159.7
0.205,161.5
0.21,169.7
0.215,160.9
0.22,175.2
0.225,174.1
0.23,160.2
0.235,157.8
0.24,157.8
0.245,157.8
0.25,154.0
